anpha,beta,x,y
0.0,0.0,90.0,0.0
0.0,1.0,89.99390780625565,0.6980962574913405
0.0,2.0,89.97563308076383,1.3959798681000388
0.0,3.0,89.94518139018295,2.0934382497177535
0.0,4.0,89.90256201039297,2.790258949765012
0.0,5.0,89.84778792366981,3.4862297099063264
0.0,6.0,89.78087581473093,4.181138530706139
0.0,7.0,89.70184606565289,4.874773736205899
0.0,8.0,89.61072274966281,5.566924038402617
0.0,9.0,89.50753362380551,6.2573786016092345
0.0,10.0,89.39231012048832,6.945927106677213
0.0,11.0,89.26508733790655,7.632359815061792
0.0,12.0,89.12590402935223,8.316467632710374
0.0,13.0,88.9748025914094,8.9980421737546
0.0,14.0,88.81182905103987,9.676875823986709
0.0,15.0,88.63703305156272,10.35276180410083
0.0,16.0,88.45046783753276,11.025494232679966
0.0,17.0,88.25219023852142,11.69486818890947
0.0,18.0,88.04226065180615,12.360679774997896
0.0,19.0,87.82074302397268,13.022726178286268
0.0,20.0,87.58770483143634,13.680805733026748
0.0,21.0,87.34321705988808,14.33471798181201
0.0,22.0,87.0873541826715,14.98426373663648
0.0,23.0,86.8201941380976,15.629245139570951
0.0,24.0,86.54181830570403,16.26946572303201
0.0,25.0,86.252311481466,16.904730469627978
0.0,26.0,85.95176185196668,17.534845871563096
0.0,27.0,85.64026096753472,18.15961998958187
0.0,28.0,85.31790371435707,18.778862511435634
0.0,29.0,84.98478828557583,19.392384809853482
0.0,30.0,84.64101615137756,19.999999999999996
0.0,31.0,84.2866920280845,20.601522996402167
0.0,32.0,83.92192384625704,21.196770569328194
0.0,33.0,83.54682271781697,21.785561400601082
0.0,34.0,83.16150290220166,22.367716138829877
0.0,35.0,82.76608177155967,22.943057454041842
0.0,36.0,82.36067977499789,23.511410091698927
0.0,37.0,81.94542040189171,24.072600926081932
0.0,38.0,81.52043014426887,24.62645901302633
0.0,39.0,81.08583845827883,25.172815641993495
0.0,40.0,80.64177772475912,25.71150438746157
0.0,41.0,80.18838320891088,26.24236115962029
0.0,42.0,79.72579301909576,26.76522425435433
0.0,43.0,79.25414806476681,27.27993440249994
0.0,44.0,78.77359201354605,27.78633481835989
0.0,45.0,78.2842712474619,28.2842712474619
0.0,46.0,77.78633481835989,28.773592013546043
0.0,47.0,77.27993440249995,29.254148064766817
0.0,48.0,76.76522425435434,29.725793019095768
0.0,49.0,76.24236115962029,30.18838320891088
0.0,50.0,75.71150438746157,30.64177772475912
0.0,51.0,75.17281564199351,31.085838458278836
0.0,52.0,74.62645901302633,31.52043014426888
0.0,53.0,74.07260092608193,31.945420401891713
0.0,54.0,73.51141009169893,32.3606797749979
0.0,55.0,72.94305745404185,32.76608177155967
0.0,56.0,72.36771613882988,33.16150290220167
0.0,57.0,71.78556140060108,33.546822717816966
0.0,58.0,71.1967705693282,33.92192384625704
0.0,59.0,70.60152299640217,34.286692028084495
0.0,60.0,70.0,34.64101615137754
0.0,61.0,69.39238480985348,34.98478828557583
0.0,62.0,68.77886251143563,35.31790371435707
0.0,63.0,68.15961998958187,35.640260967534715
0.0,64.0,67.5348458715631,35.95176185196668
0.0,65.0,66.90473046962798,36.252311481465995
0.0,66.0,66.26946572303201,36.541818305704034
0.0,67.0,65.62924513957094,36.82019413809761
